#deck:Angular
#tags: angular frontend
#separator:Tab
#html:true
#columns: Front	Back
Что такое Angular и чем он отличается от AngularJS?	Angular (2+) — полный переписанный фреймворк на TypeScript с компонентной архитектурой, DI, RxJS и CLI. AngularJS (1.x) — устаревший JS-фреймворк с двусторонним binding через scope; это другой продукт.
Что такое компонент в Angular?	Базовый строительный блок UI: класс (@Component) + шаблон + стили. Управляет отображением и логикой части интерфейса.
Чем отличается standalone-кomponent от NgModule?	Standalone объявляет <code>imports: [...]</code> прямо в декораторе и не требует NgModule. NgModule группирует declarations/imports/exports — классический подход до Angular 14+.
Как создать новый Angular-проект?	<code>ng new имя-проекта</code> через Angular CLI. Можно выбрать routing, CSS-препроцессор, SSR и standalone по умолчанию.
Что делает Angular CLI?	Генерирует проект, компоненты, сервисы, маршруты; собирает (build), запускает dev-сerver, тесты и линт.
Что такое декоратор @Component и его основные свойства?	<code>selector</code>, <code>template/templateUrl</code>, <code>styles/styleUrls</code>, <code>imports</code>, <code>changeDetection</code>, <code>providers</code> — метаданные компонента.
Что такое selector компонента?	CSS-подобное имя тега/атрибута, по которому компонент вставляется в шаблон: <code>app-user</code> или <code>[appHighlight]</code>.
Что такое data binding в Angular?	Связь шаблона и компонента:<br>• интерполяция <code>{{ }}</code><br>• property <code>[prop]</code><br>• event <code>(event)</code><br>• two-way <code>[(ngModel)]</code>
Что такое интерполяция {{ }}?	Вывод выражения из класса компонента в шаблон. Angular автоматически экранирует HTML.
Чем [property] отличается от (event)?	<code>[prop]</code> — односторонняя передача данных в элемент/дочерний компонент.<br><code>(event)</code> — подписка на событие DOM или @Output.
Что такое two-way binding [(ngModel)]?	Комбинация <code>[ngModel]</code> и <code>(ngModelChange)</code>. Требует <code>FormsModule</code> или <code>ReactiveFormsModule</code> + импорт директивы.
Что такое директива?	Класс, расширяющий поведение DOM. Типы: компоненты, структурные (*ngIf), атрибутные ([ngClass]).
Что делает *ngIf?	Структурная директива: добавляет/удаляет элемент из DOM по условию. <code>*</code> — синтаксический сахар для <code>&lt;ng-template&gt;</code>.
Что делает *ngFor?	Рендерит список элементов. Требует <code>track</code> / <code>trackBy</code> для эффективных обновлений.
Зачем нужен trackBy в ngFor?	Помогает Angular идентифицировать элементы по id, а не по индексу — меньше лишних перерисовок DOM.
Что делает [ngClass] и [ngStyle]?	Динамически задают CSS-классы и inline-стили на основе выражений в компоненте.
Что такое pipe?	Преобразует значение в шаблоне: <code>{{ date | date:'short' }}</code>. Есть встроенные и кастомные.
Чем pure pipe отличается от impure?	Pure пересчитывается только при изменении входных ссылок/примитивов. Impure — при каждой проверке change detection (осторожно с производительностью).
Что такое сервис (@Injectable)?	Класс с бизнес-логикой, общим состоянием или доступом к API. Обычно singleton через DI.
Что такое Dependency Injection (DI) в Angular?	Паттерн: зависимости передаются извне через конструктор/<code>inject()</code>, а не создаются внутри класса. Управляется инжектором.
Что такое injector и provider?	Provider — рецепт создания зависимости (<code>useClass</code>, <code>useValue</code>, <code>useFactory</code>). Injector хранит дерево провайдеров и создаёт экземпляры.
Чем providedIn: 'root' отличается от providers в @Component?	<code>root</code> — один экземпляр на всё приложение (tree-shakable). <code>providers</code> в компоненте — отдельный инжектор на каждый экземпляр компонента.
Что такое @Input() и @Output()?	@Input — данные от родителя к ребёнку.<br>@Output + EventEmitter — события от ребёнка к родителю.
Что такое ViewChild / ContentChild?	ViewChild — доступ к элементу/компоненту в шаблоне компонента.<br>ContentChild — к проецируемому контенту через <code>&lt;ng-content&gt;</code>.
Что такое ng-content?	Точка проекции контента: родитель передаёт разметку внутрь дочернего компонента (transclusion).
Что такое жизненный цикл компонента?	Хуки: <code>ngOnChanges</code>, <code>ngOnInit</code>, <code>ngDoCheck</code>, <code>ngAfterViewInit</code>, <code>ngOnDestroy</code> и др. — реакция на создание/изменение/уничтожение.
Когда использовать ngOnInit?	Для инициализации после первого @Input: загрузка данных, подписки. Конструктор — только для DI.
Зачем ngOnDestroy?	Очистка: отписка от Observable, clearInterval, removeListener. Предотвращает утечки памяти.
Что такое Change Detection?	Механизм проверки изменений данных и обновления шаблона. По умолчанию — zone.js + стратегия Default.
Чем Default отличается от OnPush?	Default проверяет компонент при любом async-событии в zone. OnPush — только при новых @Input, событиях компонента, async pipe или явном markForCheck.
Когда выбирать ChangeDetectionStrategy.OnPush?	Для производительности, когда данные приходят через immutable @Input или async pipe, и компонент «чистый».
Что такое Zone.js?	Патчит async API браузера, чтобы Angular знал, когда запускать change detection после setTimeout, HTTP, событий и т.д.
Что такое Signals (Angular 16+)?	Реактивные примитивы: <code>signal()</code>, <code>computed()</code>, <code>effect()</code>. Fine-grained обновления без лишней CD.
Как объявить и обновить signal?	<code>count = signal(0)</code><br>Чтение: <code>count()</code><br>Запись: <code>count.set(1)</code> или <code>count.update(v =&gt; v + 1)</code>
Что такое computed()?	Производный signal, автоматически пересчитывается при изменении зависимостей.
Что такое Router и зачем он нужен?	Клиентская маршрутизация SPA: сопоставление URL → компонент без перезагрузки страницы.
Как настроить маршрут в standalone-приложении?	<code>provideRouter(routes)</code> в <code>bootstrapApplication</code>, массив <code>Routes</code> с <code>path</code> и <code>component/loadComponent</code>.
Чем component от loadComponent в routes?	<code>component</code> — eager load.<br><code>loadComponent</code> — lazy load отдельного standalone-компонента (code splitting).
Что такое lazy loading модулей/маршрутов?	Загрузка кода фичи только при переходе на маршрут — меньший initial bundle.
Что такое routerLink и routerOutlet?	<code>routerLink</code> — навигация в шаблоне.<br><code>&lt;router-outlet&gt;</code> — место, куда вставляется компонент маршрута.
Как передать параметр маршрута?	<code>/user/:id</code> в path, чтение через <code>ActivatedRoute</code> или <code>input()</code> с <code>withComponentInputBinding</code>.
Что такое guard (CanActivate)?	Проверка перед активацией маршрута: авторизация, права доступа. Возвращает boolean, UrlTree или Observable.
Чем Reactive Forms отличаются от Template-driven?	Reactive: модель в TS (<code>FormGroup</code>, <code>FormControl</code>), явный контроль, проще тестировать.<br>Template-driven: <code>ngModel</code> в шаблоне, проще для простых форм.
Что такое FormControl, FormGroup, FormArray?	Control — одно поле.<br>Group — объект полей.<br>Array — динамический список контролов.
Как валидировать reactive form?	Validators в FormControl: <code>Validators.required</code>, <code>email</code>, кастомные. Статус: <code>valid/invalid/touched/dirty</code>.
Что такое HttpClient?	Сервис для HTTP-запросов. Возвращает Observable. Настраивается через <code>provideHttpClient()</code>.
Почему HttpClient возвращает Observable, а не Promise?	Поддержка отмены, операторов RxJS (map, catchError, retry), множественных значений, интеграции с async pipe.
Что такое RxJS Observable?	Поток значений во времени. Подписка через <code>subscribe()</code> или async pipe в шаблоне.
Чем Observable отличается от Subject?	Observable — lazy, один поток на подписчика (обычно). Subject — multicast, можно эмитить значения извне (<code>next()</code>).
Что делает оператор map в RxJS?	Трансформирует каждое значение потока: <code>pipe(map(x =&gt; x * 2))</code>.
Что делает switchMap?	При новом значении отменяет предыдущий внутренний Observable — типично для поиска/autocomplete.
Зачем async pipe в шаблоне?	Подписывается на Observable/Promise, показывает значение, автоматически отписывается при destroy — меньше утечек.
